sa2_code_2021,median_weekly_rent,uni_share,uni_students,total_students,overseas_share,p_australia_tot,p_tot_tot,intl_student_proxy,suburb
201011001,370,0.14125087842586087,804,5692,0.1875853875853876,13677,16835,0.026496600776291575,SA2_201011001
201011002,313,0.20395653385344106,732,3589,0.1813535570027203,9931,12131,0.03698824288826728,SA2_201011002
201011005,330,0.1697019867549669,410,2416,0.14268007161547996,6225,7261,0.02421309162348791,SA2_201011005
201011006,360,0.13867248363976317,445,3209,0.15195572647969233,9041,10661,0.021072077994223462,SA2_201011006
201011007,350,0.08716323296354993,110,1262,0.10023640661938535,3806,4230,0.008736929261594603,SA2_201011007
201011008,260,0.08972340903980211,399,4447,0.15215548164090523,13000,15333,0.01365190851691504,SA2_201011008
201011481,288,0.16219369894982497,417,2571,0.1550923537302652,8188,9691,0.025155002530346398,SA2_201011481
201011482,300,0.14265060240963856,592,4150,0.12922033898305085,12844,14750,0.018433359199509905,SA2_201011482
201011483,295,0.16844919786096257,630,3740,0.18200408997955012,10000,12225,0.030658442964469672,SA2_201011483
201011484,260,0.12145196506550218,445,3664,0.1759896072138163,10783,13086,0.021374283627223867,SA2_201011484
201021009,330,0.09192944949225014,172,1871,0.19911571885958226,5253,6559,0.018304598420015045,SA2_201021009
201021010,250,0.07580720636406177,162,2137,0.18045763760049474,6626,8085,0.013679989373551778,SA2_201021010
201021011,330,0.09289176090468497,230,2476,0.24630838774485184,7503,9955,0.022880019863213214,SA2_201021011
201021012,270,0.08627038400841662,164,1901,0.18392969240426868,5200,6372,0.01586768519426621,SA2_201021012
201031013,200,0.05843439911797133,53,907,0.19648924122310304,2838,3532,0.011481730744018148,SA2_201031013
201031014,218,0.050700466977985324,76,1499,0.18992248062015504,3762,4644,0.009629158457059228,SA2_201031014
201031015,250,0.07358093903293624,105,1427,0.17368205966489578,4044,4894,0.01277968904331749,SA2_201031015
201031016,240,0.0577319587628866,112,1940,0.15637254901960784,6884,8160,0.009027693551647464,SA2_201031016
201031017,200,0.04628330995792426,66,1426,0.20865001809627218,4373,5526,0.009657013460276271,SA2_201031017
