"Code","Category"
"10","Preschool"
"21","Primary - Government"
"22","Primary - Catholic"
"23","Primary - other non-Government"
"29","Primary – not further defined"
"31","Secondary - Government"
"32","Secondary - Catholic"
"33","Secondary - other non-Government"
"39","Secondary – not further defined"
"41","Tertiary - vocational education (including TAFE and private training providers)"
"42","Tertiary – university or other higher education"
"49","Tertiary – not further defined"
"60","Other"
"&&","Not stated"
"@@","Not applicable"
"VV","Overseas visitor"

"Number of categories: 16"
"Not applicable (@@) category comprises:"
"- Persons not attending an education institution"
"See Understanding supplementary codes for more information."

"Source: Australian Bureau of Statistics, Type of educational institution attending (TYPP) 2021"
