model,variable,coef,se_hc1,pval,r2,r2_adj,n
M1,Intercept,6.071799,0.065169,0.0,0.255119,0.253673,517
M1,log_proxy,0.061903,0.020423,0.002559,0.255119,0.253673,517
M2,Intercept,6.35082,0.069,0.0,0.394793,0.391254,517
M2,log_proxy,1.802139,0.928816,0.052896,0.394793,0.391254,517
M2,log_uni,-1.667314,0.872929,0.056688,0.394793,0.391254,517
M2,log_os,-1.627507,0.970282,0.094082,0.394793,0.391254,517
M3,Intercept,6.3021,0.070384,0.0,0.431624,0.426063,517
M3,log_proxy,1.805643,0.86481,0.037301,0.431624,0.426063,517
M3,log_uni,-1.677213,0.81264,0.039531,0.431624,0.426063,517
M3,log_os,-1.681228,0.89888,0.062005,0.431624,0.426063,517
M3,D_inner,-0.053091,0.034333,0.122632,0.431624,0.426063,517
M3,D_middle,-0.206558,0.048849,2.8e-05,0.431624,0.426063,517
M4,Intercept,6.542091,0.065566,0.0,0.492669,0.4867,517
M4,log_proxy,0.541583,0.922212,0.557285,0.492669,0.4867,517
M4,proxy_sq,0.010352,0.003457,0.002882,0.492669,0.4867,517
M4,log_uni,-0.225162,0.943084,0.811395,0.492669,0.4867,517
M4,log_os,-0.431038,0.945288,0.648594,0.492669,0.4867,517
M4,D_inner,-0.060611,0.030704,0.048917,0.492669,0.4867,517
M4,D_middle,-0.152233,0.043981,0.000583,0.492669,0.4867,517
M5,Intercept,6.574804,0.162951,0.0,0.475022,0.467802,517
M5,log_proxy,3.306054,1.295691,0.011015,0.475022,0.467802,517
M5,D_high_os,-0.27398,0.207251,0.186772,0.475022,0.467802,517
M5,proxy_x_highos,-0.077453,0.070984,0.275732,0.475022,0.467802,517
M5,log_uni,-3.065188,1.215811,0.012003,0.475022,0.467802,517
M5,log_os,-3.172567,1.312378,0.015981,0.475022,0.467802,517
M5,D_inner,-0.058895,0.030264,0.052197,0.475022,0.467802,517
M5,D_middle,-0.157241,0.07442,0.035096,0.475022,0.467802,517
