column,variable,coef,se,pval,r2,r2_adj,n,outcome
(1) Preferred [M3],Intercept,6.453772,0.039933,0.0,0.517905,0.515052,511,ln(Rent)
(1) Preferred [M3],log_proxy,0.17999,0.013855,0.0,0.517905,0.515052,511,ln(Rent)
(1) Preferred [M3],D_inner,0.005455,0.029767,0.854603,0.517905,0.515052,511,ln(Rent)
(1) Preferred [M3],D_middle,-0.085039,0.031194,0.006407,0.517905,0.515052,511,ln(Rent)
(2) Minimal [no controls],Intercept,6.478419,0.033428,0.0,0.509276,0.508312,511,ln(Rent)
(2) Minimal [no controls],log_proxy,0.189878,0.010574,0.0,0.509276,0.508312,511,ln(Rent)
(3) Kitchen- sink,Intercept,6.488644,0.041898,0.0,0.573415,0.570043,511,ln(Rent)
(3) Kitchen- sink,log_uni,0.2832,0.019779,0.0,0.573415,0.570043,511,ln(Rent)
(3) Kitchen- sink,log_os,0.030776,0.02035,0.130447,0.573415,0.570043,511,ln(Rent)
(3) Kitchen- sink,D_inner,-0.054123,0.028565,0.058128,0.573415,0.570043,511,ln(Rent)
(3) Kitchen- sink,D_middle,-0.090896,0.030296,0.002697,0.573415,0.570043,511,ln(Rent)
(4) Drop top/ bot 1% rent,Intercept,6.398918,0.037061,0.0,0.519862,0.516958,500,ln(Rent)
(4) Drop top/ bot 1% rent,log_proxy,0.161081,0.012927,0.0,0.519862,0.516958,500,ln(Rent)
(4) Drop top/ bot 1% rent,D_inner,-0.014268,0.029056,0.623391,0.519862,0.516958,500,ln(Rent)
(4) Drop top/ bot 1% rent,D_middle,-0.11298,0.030136,0.000178,0.519862,0.516958,500,ln(Rent)
(5) Drop Cook's D,Intercept,6.38571,0.033893,0.0,0.542578,0.539627,469,ln(Rent)
(5) Drop Cook's D,log_proxy,0.14889,0.011746,0.0,0.542578,0.539627,469,ln(Rent)
(5) Drop Cook's D,D_inner,-0.058396,0.023143,0.011628,0.542578,0.539627,469,ln(Rent)
(5) Drop Cook's D,D_middle,-0.134339,0.024703,0.0,0.542578,0.539627,469,ln(Rent)
(6) Inner ring only,Intercept,6.449751,0.212253,0.0,0.187098,0.172582,58,ln(Rent)
(6) Inner ring only,log_proxy,0.177588,0.0567,0.001736,0.187098,0.172582,58,ln(Rent)
(7) Outer ring only,Intercept,6.455276,0.041597,0.0,0.452052,0.450696,406,ln(Rent)
(7) Outer ring only,log_proxy,0.180495,0.01443,0.0,0.452052,0.450696,406,ln(Rent)
(8) Level– level,Intercept,356.835711,8.264545,0.0,0.264612,0.26026,511,Rent ($)
(8) Level– level,intl_student_proxy,329.057308,105.810512,0.001872,0.264612,0.26026,511,Rent ($)
(8) Level– level,D_inner,-43.507086,10.38648,2.8e-05,0.264612,0.26026,511,Rent ($)
(8) Level– level,D_middle,-93.145971,9.081324,0.0,0.264612,0.26026,511,Rent ($)
(9) IHS–IHS (full N),Intercept,6.528671,0.02689,0.0,0.255982,0.251631,517,IHS(Rent)
(9) IHS–IHS (full N),ihs_proxy,1.143912,0.344183,0.000889,0.255982,0.251631,517,IHS(Rent)
(9) IHS–IHS (full N),D_inner,-0.111448,0.033698,0.000942,0.255982,0.251631,517,IHS(Rent)
(9) IHS–IHS (full N),D_middle,-0.333597,0.061442,0.0,0.255982,0.251631,517,IHS(Rent)
(10) Polynomial [+ln(P)²],Intercept,5.642273,0.12139,0.0,0.639527,0.636677,511,ln(Rent)
(10) Polynomial [+ln(P)²],log_proxy,-0.367277,0.077214,2e-06,0.639527,0.636677,511,ln(Rent)
(10) Polynomial [+ln(P)²],log_proxy_sq,-0.084977,0.011614,0.0,0.639527,0.636677,511,ln(Rent)
(10) Polynomial [+ln(P)²],D_inner,0.002179,0.028325,0.938686,0.639527,0.636677,511,ln(Rent)
(10) Polynomial [+ln(P)²],D_middle,-0.034073,0.029526,0.248504,0.639527,0.636677,511,ln(Rent)
(11) Classical SEs,Intercept,6.453772,0.029747,0.0,0.517905,0.515052,511,ln(Rent)
(11) Classical SEs,log_proxy,0.17999,0.009544,0.0,0.517905,0.515052,511,ln(Rent)
(11) Classical SEs,D_inner,0.005455,0.025957,0.833638,0.517905,0.515052,511,ln(Rent)
(11) Classical SEs,D_middle,-0.085039,0.029795,0.004492,0.517905,0.515052,511,ln(Rent)
